problem,N,POP_SIZE,threads,avg_ms,best_fitness_last_run
Rastrigin,10,50,1,31.2,0
Rastrigin,10,50,2,93.6,0
Rastrigin,10,50,4,124.1,0
Rastrigin,10,50,8,170.4,0
Rastrigin,10,50,16,290.6,0
Rastrigin,10,50,20,351.9,0
Rastrigin,10,100,1,52.9,0
Rastrigin,10,100,2,107.3,0
Rastrigin,10,100,4,122.4,0
Rastrigin,10,100,8,225.3,0
Rastrigin,10,100,16,322.5,0
Rastrigin,10,100,20,362,0
Rastrigin,10,200,1,100,0
Rastrigin,10,200,2,132.2,0
Rastrigin,10,200,4,139.9,0
Rastrigin,10,200,8,184.9,0
Rastrigin,10,200,16,308.6,0
Rastrigin,10,200,20,363.8,0
Rastrigin,10,500,1,215.6,0
Rastrigin,10,500,2,208.7,0
Rastrigin,10,500,4,194.3,0
Rastrigin,10,500,8,244.4,0
Rastrigin,10,500,16,339.3,0
Rastrigin,10,500,20,406.9,0
Rastrigin,10,1000,1,446,0
Rastrigin,10,1000,2,339.6,0
Rastrigin,10,1000,4,277.9,0
Rastrigin,10,1000,8,369.2,0
Rastrigin,10,1000,16,484.3,0
Rastrigin,10,1000,20,515.2,0
Rastrigin,30,50,1,61.4,0
Rastrigin,30,50,2,108.3,0
Rastrigin,30,50,4,133.6,0
Rastrigin,30,50,8,221.1,0
Rastrigin,30,50,16,311.3,0
Rastrigin,30,50,20,359.5,0
Rastrigin,30,100,1,105,0
Rastrigin,30,100,2,141.3,0
Rastrigin,30,100,4,140.6,0
Rastrigin,30,100,8,195.1,0
Rastrigin,30,100,16,307.3,0
Rastrigin,30,100,20,372.8,0
Rastrigin,30,200,1,198.5,0
Rastrigin,30,200,2,193,0
Rastrigin,30,200,4,172.4,0
Rastrigin,30,200,8,225.6,0
Rastrigin,30,200,16,333.7,0
Rastrigin,30,200,20,395.1,0
Rastrigin,30,500,1,486.6,0
Rastrigin,30,500,2,353.2,0
Rastrigin,30,500,4,272.9,0
Rastrigin,30,500,8,327.7,0
Rastrigin,30,500,16,378,0
Rastrigin,30,500,20,452.2,0
Rastrigin,30,1000,1,938.4,0
Rastrigin,30,1000,2,625.2,0
Rastrigin,30,1000,4,446.9,0
Rastrigin,30,1000,8,477.9,0
Rastrigin,30,1000,16,510.4,0
Rastrigin,30,1000,20,534.3,0
Rastrigin,50,50,1,84,0
Rastrigin,50,50,2,124.3,0
Rastrigin,50,50,4,134.2,0
Rastrigin,50,50,8,188.4,0
Rastrigin,50,50,16,297.9,0
Rastrigin,50,50,20,368.2,0
Rastrigin,50,100,1,155.1,0
Rastrigin,50,100,2,169.8,0
Rastrigin,50,100,4,164.8,0
Rastrigin,50,100,8,210.8,0
Rastrigin,50,100,16,319.5,0
Rastrigin,50,100,20,400.4,0
Rastrigin,50,200,1,297.5,0
Rastrigin,50,200,2,247.8,0
Rastrigin,50,200,4,207.6,0
Rastrigin,50,200,8,282.2,0
Rastrigin,50,200,16,404.5,0
Rastrigin,50,200,20,413.7,0
Rastrigin,50,500,1,743.9,0
Rastrigin,50,500,2,494.9,0
Rastrigin,50,500,4,358.8,0
Rastrigin,50,500,8,395.1,0
Rastrigin,50,500,16,435.6,0
Rastrigin,50,500,20,509.6,0
Rastrigin,50,1000,1,1485,0
Rastrigin,50,1000,2,904.5,0
Rastrigin,50,1000,4,599.5,0
Rastrigin,50,1000,8,655.9,0
Rastrigin,50,1000,16,551.4,0
Rastrigin,50,1000,20,628.2,0
Rastrigin,100,50,1,152.8,0
Rastrigin,100,50,2,164,0
Rastrigin,100,50,4,156.9,0
Rastrigin,100,50,8,223.7,0
Rastrigin,100,50,16,314,0
Rastrigin,100,50,20,373.5,0
Rastrigin,100,100,1,314.7,0
Rastrigin,100,100,2,252.6,0
Rastrigin,100,100,4,225.5,0
Rastrigin,100,100,8,307.2,0
Rastrigin,100,100,16,388.6,0
Rastrigin,100,100,20,422.9,0
Rastrigin,100,200,1,579.7,0
Rastrigin,100,200,2,406.4,0
Rastrigin,100,200,4,339.6,0
Rastrigin,100,200,8,392,0
Rastrigin,100,200,16,458,0
Rastrigin,100,200,20,473.3,0
Rastrigin,100,500,1,1481.5,0
Rastrigin,100,500,2,909.4,0
Rastrigin,100,500,4,669.7,0
Rastrigin,100,500,8,661.9,0
Rastrigin,100,500,16,590.1,0
Rastrigin,100,500,20,666.8,0
Rastrigin,100,1000,1,2928.5,0
Rastrigin,100,1000,2,1680.3,0
Rastrigin,100,1000,4,1024.8,0
Rastrigin,100,1000,8,1304.6,0
Rastrigin,100,1000,16,820.3,0
Rastrigin,100,1000,20,869.7,0
