problem,N,POP_SIZE,avg_ms,best_fitness_last_run
Rastrigin,10,50,21.3,0
Rastrigin,10,100,37,0
Rastrigin,10,200,67.8,0
Rastrigin,10,500,167.5,0
Rastrigin,10,1000,334.2,0
Rastrigin,30,50,52.4,0
Rastrigin,30,100,87.8,0
Rastrigin,30,200,170,0
Rastrigin,30,500,415,0
Rastrigin,30,1000,802.9,0
Rastrigin,50,50,66.3,0
Rastrigin,50,100,128.3,0
Rastrigin,50,200,263.7,0
Rastrigin,50,500,652.8,0
Rastrigin,50,1000,1252.7,0
Rastrigin,100,50,128.5,0
Rastrigin,100,100,276.6,0
Rastrigin,100,200,529.1,0
Rastrigin,100,500,1240.2,0
Rastrigin,100,1000,2649.2,0
