problem,N,POP_SIZE,threads,avg_ms_par,best_fitness_last_run,avg_ms_ser,speedup,efficiency
Rastrigin,10,50,1,37.8,0.0,26.4,0.6984126984126984,0.6984126984126984
Rastrigin,10,50,2,93.3,0.0,26.4,0.2829581993569132,0.1414790996784566
Rastrigin,10,50,4,114.9,0.0,26.4,0.22976501305483027,0.05744125326370757
Rastrigin,10,50,8,162.8,0.0,26.4,0.16216216216216214,0.020270270270270268
Rastrigin,10,50,16,290.1,0.0,26.4,0.09100310237849016,0.005687693898655635
Rastrigin,10,50,20,363.0,0.0,26.4,0.07272727272727272,0.0036363636363636364
Rastrigin,10,100,1,50.1,0.0,36.0,0.718562874251497,0.718562874251497
Rastrigin,10,100,2,107.2,0.0,36.0,0.33582089552238803,0.16791044776119401
Rastrigin,10,100,4,119.0,0.0,36.0,0.3025210084033613,0.07563025210084033
Rastrigin,10,100,8,168.9,0.0,36.0,0.21314387211367672,0.02664298401420959
Rastrigin,10,100,16,297.8,0.0,36.0,0.1208865010073875,0.007555406312961719
Rastrigin,10,100,20,368.7,0.0,36.0,0.09764035801464606,0.004882017900732303
Rastrigin,10,200,1,98.0,0.0,70.1,0.7153061224489795,0.7153061224489795
Rastrigin,10,200,2,131.8,0.0,70.1,0.5318664643399089,0.26593323216995446
Rastrigin,10,200,4,141.3,0.0,70.1,0.4961075725406935,0.12402689313517337
Rastrigin,10,200,8,203.4,0.0,70.1,0.34464110127826936,0.04308013765978367
Rastrigin,10,200,16,307.0,0.0,70.1,0.2283387622149837,0.014271172638436481
Rastrigin,10,200,20,385.2,0.0,70.1,0.1819833852544133,0.009099169262720665
Rastrigin,10,500,1,211.3,0.0,168.9,0.7993374349266446,0.7993374349266446
Rastrigin,10,500,2,209.6,0.0,168.9,0.8058206106870229,0.40291030534351147
Rastrigin,10,500,4,194.0,0.0,168.9,0.8706185567010309,0.21765463917525774
Rastrigin,10,500,8,252.5,0.0,168.9,0.668910891089109,0.08361386138613862
Rastrigin,10,500,16,368.1,0.0,168.9,0.4588427057864711,0.028677669111654442
Rastrigin,10,500,20,439.2,0.0,168.9,0.38456284153005466,0.01922814207650273
Rastrigin,10,1000,1,412.3,0.0,343.9,0.8341013824884792,0.8341013824884792
Rastrigin,10,1000,2,350.4,0.0,343.9,0.9814497716894978,0.4907248858447489
Rastrigin,10,1000,4,280.4,0.0,343.9,1.2264621968616263,0.30661554921540657
Rastrigin,10,1000,8,370.9,0.0,343.9,0.9272040981396603,0.11590051226745754
Rastrigin,10,1000,16,453.4,0.0,343.9,0.7584913983237759,0.04740571239523599
Rastrigin,10,1000,20,463.0,0.0,343.9,0.7427645788336933,0.03713822894168466
Rastrigin,50,50,1,86.7,0.0,61.2,0.7058823529411765,0.7058823529411765
Rastrigin,50,50,2,127.5,0.0,61.2,0.48000000000000004,0.24000000000000002
Rastrigin,50,50,4,134.9,0.0,61.2,0.4536693847294292,0.1134173461823573
Rastrigin,50,50,8,178.4,0.0,61.2,0.3430493273542601,0.04288116591928251
Rastrigin,50,50,16,315.8,0.0,61.2,0.19379354021532616,0.012112096263457885
Rastrigin,50,50,20,375.7,0.0,61.2,0.16289592760180996,0.008144796380090498
Rastrigin,50,100,1,164.4,0.0,133.1,0.809610705596107,0.809610705596107
Rastrigin,50,100,2,174.6,0.0,133.1,0.7623138602520045,0.38115693012600227
Rastrigin,50,100,4,162.4,0.0,133.1,0.8195812807881773,0.20489532019704432
Rastrigin,50,100,8,227.3,0.0,133.1,0.585569731632204,0.0731962164540255
Rastrigin,50,100,16,343.5,0.0,133.1,0.3874818049490538,0.024217612809315864
