impl,limit_train,Ndata,D,K,POP_SIZE,threads,max_iters,avg_ms,best_sse,T_serial_ms,speedup,efficiency,karp_flatt_e
openmp,5000,5000,784,10,25,2,100,21508.0,349735,41841.0,1.9453691649618747,0.9726845824809374,0.02808250280825031
openmp,5000,5000,784,10,25,4,100,12218.0,349735,41841.0,3.424537567523326,0.8561343918808315,0.05601363893469724
openmp,5000,5000,784,10,25,8,100,9096.0,349735,41841.0,4.599934036939314,0.5749917546174143,0.10559362484507677
openmp,5000,5000,784,10,25,16,100,6018.0,349735,41841.0,6.952642073778664,0.4345401296111665,0.08675222867522286
openmp,5000,5000,784,10,25,20,100,4854.0,349735,41841.0,8.619901112484548,0.4309950556242274,0.0694848543169065
openmp,5000,5000,784,10,50,2,100,41402.0,337031,83044.0,2.005796821409594,1.002898410704797,-0.002890034198738012
openmp,5000,5000,784,10,50,4,100,22969.0,337031,83044.0,3.615481736253211,0.9038704340633027,0.035451086171186384
openmp,5000,5000,784,10,50,8,100,17057.0,337031,83044.0,4.868616990092044,0.6085771237615055,0.09188244441844942
openmp,5000,5000,784,10,50,16,100,11164.0,337031,83044.0,7.4385524901469005,0.4649095306341813,0.07673040797649439
openmp,5000,5000,784,10,50,20,100,10840.0,337031,83044.0,7.660885608856089,0.3830442804428044,0.08477180137859701
openmp,5000,5000,784,10,100,2,100,83307.0,324880,164439.0,1.9738917497929345,0.9869458748964672,0.013226789265320393
openmp,5000,5000,784,10,100,4,100,44402.0,324880,164439.0,3.703414260618891,0.9258535651547227,0.026694802733333727
openmp,5000,5000,784,10,100,8,100,33316.0,324880,164439.0,4.935736583023172,0.6169670728778965,0.08869029158011697
openmp,5000,5000,784,10,100,16,100,23006.0,324880,164439.0,7.147657132921847,0.4467285708076154,0.08256638226535878
openmp,5000,5000,784,10,100,20,100,19865.0,324880,164439.0,8.277825320916184,0.4138912660458092,0.07453123714728963
