impl,limit_train,Ndata,D,K,POP_SIZE,threads,max_iters,avg_ms,best_sse
openmp,1000,1000,784,10,32,2,100,9165,69649.5
openmp,1000,1000,784,10,32,4,100,4708,69649.5
openmp,1000,1000,784,10,32,8,100,3292,69649.5
openmp,1000,1000,784,10,32,16,100,2344,69649.5
openmp,1000,1000,784,10,32,20,100,2367,69649.5
openmp,1000,1000,784,10,64,2,100,18072,65688.5
openmp,1000,1000,784,10,64,4,100,9321,65688.5
openmp,1000,1000,784,10,64,8,100,6386,65688.5
openmp,1000,1000,784,10,64,16,100,4538,65688.5
openmp,1000,1000,784,10,64,20,100,4352,65688.5
openmp,1000,1000,784,10,128,2,100,36527,63046
openmp,1000,1000,784,10,128,4,100,20972,63046
openmp,1000,1000,784,10,128,8,100,14597,63046
openmp,1000,1000,784,10,128,16,100,9210,63046
openmp,1000,1000,784,10,128,20,100,8861,63046
