impl,limit_train,Ndata,D,K,POP_SIZE,threads,max_iters,avg_ms,best_sse,avg_s,T_serial_ms,speedup,efficiency,karp_flatt_e
openmp,1000,1000,784,10,32,2,100,5718.0,69649.5,5.718,11111.0,1.9431619447359216,0.9715809723679608,0.02925029250292499
openmp,1000,1000,784,10,32,4,100,3077.0,69649.5,3.077,11111.0,3.6109847253818654,0.9027461813454664,0.03591035910359105
openmp,1000,1000,784,10,32,8,100,2519.0,69649.5,2.519,11111.0,4.410877332274712,0.551359666534339,0.11624259099733855
openmp,1000,1000,784,10,32,16,100,1671.0,69649.5,1.671,11111.0,6.649311789347696,0.415581986834231,0.0937509375093751
openmp,1000,1000,784,10,32,20,100,1681.0,69649.5,1.681,11111.0,6.609756097560975,0.33048780487804874,0.10662264517382017
openmp,1000,1000,784,10,128,2,100,22878.0,63046.0,22.878,45071.0,1.9700585715534575,0.9850292857767288,0.015198242772514359
openmp,1000,1000,784,10,128,4,100,12579.0,63046.0,12.579,45071.0,3.5830352174258686,0.8957588043564672,0.03879064882814524
openmp,1000,1000,784,10,128,8,100,9769.0,63046.0,9.769,45071.0,4.613675913604259,0.5767094892005323,0.10485361192024012
openmp,1000,1000,784,10,128,16,100,6666.0,63046.0,6.666,45071.0,6.761326132613261,0.4225828832883288,0.09109331203360622
openmp,1000,1000,784,10,128,20,100,6818.0,63046.0,6.818,45071.0,6.610589615723086,0.3305294807861543,0.1066025650756876
openmp,1000,1000,784,10,512,2,100,91688.0,59966.4,91.688,186435.0,2.033363144577262,1.016681572288631,-0.016407863330383354
openmp,1000,1000,784,10,512,4,100,51305.0,59966.4,51.305,186435.0,3.6338563492836955,0.9084640873209239,0.033586325886591384
openmp,1000,1000,784,10,512,8,100,40521.0,59966.4,40.521,186435.0,4.600947656770564,0.5751184570963205,0.10553888946358168
openmp,1000,1000,784,10,512,16,100,28280.0,59966.4,28.28,186435.0,6.592468175388968,0.4120292609618105,0.09513413969122393
openmp,1000,1000,784,10,512,20,100,27075.0,59966.4,27.075,186435.0,6.885872576177285,0.34429362880886427,0.10023671295061211
openmp,5000,5000,784,10,32,2,100,28742.0,351551.0,28.742,54506.0,1.8963885602950386,0.9481942801475193,0.054636186841815704
openmp,5000,5000,784,10,32,4,100,15976.0,351551.0,15.976,54506.0,3.4117426139208815,0.8529356534802204,0.05747379493389104
openmp,5000,5000,784,10,32,8,100,12015.0,351551.0,12.015,54506.0,4.5364960466084066,0.5670620058260508,0.10906794009571683
openmp,5000,5000,784,10,32,16,100,8686.0,351551.0,8.686,54506.0,6.2751554225189965,0.3921972139074373,0.1033158429041451
openmp,5000,5000,784,10,32,20,100,8958.0,351551.0,8.958,54506.0,6.084617102031704,0.3042308551015852,0.12036724107630835
openmp,5000,5000,784,10,128,2,100,112923.0,320786.0,112.923,219833.0,1.9467513261248817,0.9733756630624408,0.02735258127760609
openmp,5000,5000,784,10,128,4,100,63278.0,320786.0,63.278,219833.0,3.474082619551819,0.8685206548879547,0.05046103178321726
openmp,5000,5000,784,10,128,8,100,49513.0,320786.0,49.513,219833.0,4.439904671500414,0.5549880839375517,0.11454864114382933
openmp,5000,5000,784,10,128,16,100,34880.0,320786.0,34.88,219833.0,6.302551605504587,0.3939094753440367,0.10257695614398203
openmp,5000,5000,784,10,128,20,100,33101.0,320786.0,33.101,219833.0,6.641279719645932,0.3320639859822966,0.10586672610572573
openmp,5000,5000,784,10,512,2,100,454107.0,306962.0,454.107,880171.0,1.938245831929479,0.9691229159647395,0.03186085431126462
openmp,5000,5000,784,10,512,4,100,252238.0,306962.0,252.238,880171.0,3.4894464751544176,0.8723616187886044,0.048771204686362056
openmp,5000,5000,784,10,512,8,100,197330.0,306962.0,197.33,880171.0,4.460401358131049,0.5575501697663812,0.11336579564003554
openmp,5000,5000,784,10,512,16,100,136038.0,306962.0,136.038,880171.0,6.470037783560476,0.40437736147252973,0.09819584300474944
openmp,5000,5000,784,10,512,20,100,126574.0,306962.0,126.574,880171.0,6.953805678891399,0.34769028394456997,0.0987433123790718
