problem,N,POP_SIZE,threads,avg_ms,best_fitness_last_run
Rastrigin,10,50,2,17.6,0
Rastrigin,10,50,4,19.6,0
Rastrigin,10,50,8,25.4,0
Rastrigin,10,50,16,38,0
Rastrigin,10,50,20,47.8,0
Rastrigin,10,100,2,24.8,0
Rastrigin,10,100,4,28.4,0
Rastrigin,10,100,8,30.4,0
Rastrigin,10,100,16,40,0
Rastrigin,10,100,20,50,0
Rastrigin,10,200,2,43.8,0
Rastrigin,10,200,4,38.4,0
Rastrigin,10,200,8,39.8,0
Rastrigin,10,200,16,46.6,0
Rastrigin,10,200,20,55.6,0
Rastrigin,10,500,2,93.4,0
Rastrigin,10,500,4,72.4,0
Rastrigin,10,500,8,64.8,0
Rastrigin,10,500,16,59.8,0
Rastrigin,10,500,20,67.8,0
Rastrigin,10,1000,2,163.4,0
Rastrigin,10,1000,4,123,0
Rastrigin,10,1000,8,104.6,0
Rastrigin,10,1000,16,86.8,0
Rastrigin,10,1000,20,98.6,0
Rastrigin,50,50,2,40,0
Rastrigin,50,50,4,33.6,0
Rastrigin,50,50,8,37.4,0
Rastrigin,50,50,16,43.4,0
Rastrigin,50,50,20,52.4,0
Rastrigin,50,100,2,69.4,0
Rastrigin,50,100,4,55.6,0
Rastrigin,50,100,8,50.8,0
Rastrigin,50,100,16,51.8,0
Rastrigin,50,100,20,69,0
Rastrigin,50,200,2,129.8,0
Rastrigin,50,200,4,85.2,0
Rastrigin,50,200,8,81.2,0
Rastrigin,50,200,16,69.4,0
Rastrigin,50,200,20,80,0
Rastrigin,50,500,2,283,0
Rastrigin,50,500,4,178,0
Rastrigin,50,500,8,176,0
Rastrigin,50,500,16,126.8,0
Rastrigin,50,500,20,145.2,0
Rastrigin,50,1000,2,554,0
Rastrigin,50,1000,4,321.8,0
Rastrigin,50,1000,8,315.8,0
Rastrigin,50,1000,16,215.2,0
Rastrigin,50,1000,20,206.4,0
Rastrigin,100,50,2,66.2,0
Rastrigin,100,50,4,58,0
Rastrigin,100,50,8,55.2,0
Rastrigin,100,50,16,53.4,0
Rastrigin,100,50,20,62.6,0
Rastrigin,100,100,2,120.4,0
Rastrigin,100,100,4,77.2,0
Rastrigin,100,100,8,85.2,0
Rastrigin,100,100,16,75.4,0
Rastrigin,100,100,20,87.4,0
Rastrigin,100,200,2,214.2,0
Rastrigin,100,200,4,135.8,0
Rastrigin,100,200,8,139.6,0
Rastrigin,100,200,16,114.8,0
Rastrigin,100,200,20,111.8,0
Rastrigin,100,500,2,525.2,0
Rastrigin,100,500,4,322,0
Rastrigin,100,500,8,318.2,0
Rastrigin,100,500,16,218,0
Rastrigin,100,500,20,210.6,0
Rastrigin,100,1000,2,1034.8,0
Rastrigin,100,1000,4,612.4,0
Rastrigin,100,1000,8,593,0
Rastrigin,100,1000,16,392.6,0
Rastrigin,100,1000,20,362,0
Rastrigin,500,50,2,272.8,3.63798e-12
Rastrigin,500,50,4,173.8,3.63798e-12
Rastrigin,500,50,8,186.8,3.63798e-12
Rastrigin,500,50,16,147.4,3.63798e-12
Rastrigin,500,50,20,146,3.63798e-12
Rastrigin,500,100,2,529.8,1.81899e-12
Rastrigin,500,100,4,335.6,1.81899e-12
Rastrigin,500,100,8,337.2,1.81899e-12
Rastrigin,500,100,16,233.8,1.81899e-12
Rastrigin,500,100,20,234.2,1.81899e-12
Rastrigin,500,200,2,1050.2,0
Rastrigin,500,200,4,640.6,0
Rastrigin,500,200,8,608.8,0
Rastrigin,500,200,16,411.2,0
Rastrigin,500,200,20,370.6,0
Rastrigin,500,500,2,2934.4,0
Rastrigin,500,500,4,2142,0
Rastrigin,500,500,8,2704.6,0
Rastrigin,500,500,16,1665.6,0
Rastrigin,500,500,20,1341,0
Rastrigin,500,1000,2,5102.2,0
Rastrigin,500,1000,4,3102,0
Rastrigin,500,1000,8,3283,0
Rastrigin,500,1000,16,2580,0
Rastrigin,500,1000,20,1995.2,0
Rastrigin,1000,50,2,551,1.70785e-08
Rastrigin,1000,50,4,353.4,1.70785e-08
Rastrigin,1000,50,8,375.6,1.70785e-08
Rastrigin,1000,50,16,254.4,1.70785e-08
Rastrigin,1000,50,20,277.2,1.70785e-08
Rastrigin,1000,100,2,1084.6,1.00412
Rastrigin,1000,100,4,679.8,1.00412
Rastrigin,1000,100,8,692.4,1.00412
Rastrigin,1000,100,16,476.4,1.00412
Rastrigin,1000,100,20,431.2,1.00412
Rastrigin,1000,200,2,2226.6,2.91038e-11
Rastrigin,1000,200,4,1356.6,2.91038e-11
Rastrigin,1000,200,8,1440.8,2.91038e-11
Rastrigin,1000,200,16,1009.4,2.91038e-11
Rastrigin,1000,200,20,853.2,2.91038e-11
Rastrigin,1000,500,2,5527.6,7.27596e-12
Rastrigin,1000,500,4,3505,7.27596e-12
Rastrigin,1000,500,8,3811.6,7.27596e-12
Rastrigin,1000,500,16,3363.4,7.27596e-12
Rastrigin,1000,500,20,2613.6,7.27596e-12
Rastrigin,1000,1000,2,10908,3.63798e-12
Rastrigin,1000,1000,4,6750,3.63798e-12
Rastrigin,1000,1000,8,7340.6,3.63798e-12
Rastrigin,1000,1000,16,5443.6,3.63798e-12
Rastrigin,1000,1000,20,4358.6,3.63798e-12
