problem,N,POP_SIZE,avg_ms,best_fitness_last_run
Rastrigin,10,50,12.6,0
Rastrigin,10,100,19,0
Rastrigin,10,200,38.4,0
Rastrigin,10,500,95,0
Rastrigin,10,1000,186.8,0
Rastrigin,50,50,40.4,0
Rastrigin,50,100,81.2,0
Rastrigin,50,200,160.2,0
Rastrigin,50,500,403.8,0
Rastrigin,50,1000,795.8,0
Rastrigin,100,50,82.4,0
Rastrigin,100,100,162.2,0
Rastrigin,100,200,320,0
Rastrigin,100,500,813.6,0
Rastrigin,100,1000,1622.4,0
Rastrigin,500,50,415.8,3.63798e-12
Rastrigin,500,100,831.6,1.81899e-12
Rastrigin,500,200,1680.6,1.81899e-12
Rastrigin,500,500,4314.8,0
Rastrigin,500,1000,8407.6,0
Rastrigin,1000,50,865.2,2.18684
Rastrigin,1000,100,1733.6,2.874e-10
Rastrigin,1000,200,3497,1.81899e-11
Rastrigin,1000,500,8729.2,7.27596e-12
Rastrigin,1000,1000,17891.4,3.63798e-12
