problem,N,POP_SIZE,avg_wall_ms,run_ms,fit_ms,upd_ms,heap_ms,other_ms,fit_pct,upd_pct,heap_pct,other_pct
Rastrigin,10,50,10.2,10.743,4.33374,5.20564,1.04603,0.157628,40.34,48.4559,9.73684,1.46726
Rastrigin,10,100,18.6,19.1072,7.57154,9.64107,1.7403,0.154295,39.6266,50.4578,9.10809,0.807525
Rastrigin,10,200,37.4,37.9608,15.145,19.202,3.46558,0.14819,39.8964,50.5838,9.12936,0.390377
Rastrigin,10,500,92.4,92.9044,37.0191,46.8471,8.8834,0.154881,39.8464,50.425,9.56187,0.16671
Rastrigin,10,1000,183.6,184.291,73.9942,93.7016,16.4428,0.152323,40.1507,50.8444,8.92219,0.0826533
Rastrigin,50,50,40.2,40.6288,14.3032,24.3602,1.81084,0.154639,35.2045,59.9578,4.45704,0.380615
Rastrigin,50,100,80.2,80.9733,28.4249,48.5804,3.80876,0.15917,35.1041,59.9956,4.70373,0.196572
Rastrigin,50,200,159.2,159.772,56.8542,96.4172,6.34172,0.159288,35.5845,60.3466,3.96922,0.0996965
Rastrigin,50,500,401.6,402.06,141.65,240.943,19.2974,0.168568,35.2312,59.9273,4.79962,0.0419261
Rastrigin,50,1000,796.4,796.805,283.699,481.325,31.5726,0.209022,35.6045,60.4069,3.9624,0.0262325
Rastrigin,100,50,81,81.8821,28.4521,49.4453,3.80379,0.180935,34.7476,60.3859,4.64545,0.22097
Rastrigin,100,100,162,162.581,56.8684,98.9361,6.59463,0.182257,34.9784,60.8533,4.0562,0.112102
Rastrigin,100,200,320,320.587,112.231,197.723,10.4463,0.186677,35.008,61.6752,3.2585,0.0582298
Rastrigin,100,500,809.6,810.014,282.538,494.121,33.1187,0.236461,34.8806,61.0015,4.08865,0.0291922
Rastrigin,100,1000,1622.4,1622.77,565.515,996.695,60.2361,0.323087,34.8487,61.4194,3.71193,0.0199096
Rastrigin,500,50,415.8,416.197,139.566,255.906,20.2453,0.479142,33.5336,61.4869,4.86437,0.115124
Rastrigin,500,100,827,827.724,280.198,513.221,33.7535,0.550518,33.8517,62.004,4.07787,0.0665098
Rastrigin,500,200,1650.8,1651.14,565.238,1027.18,58.0603,0.665602,34.2332,62.2101,3.51637,0.0403117
Rastrigin,500,500,4266,4266.37,1423.73,2570.08,271.662,0.891246,33.3711,60.2405,6.36751,0.02089
Rastrigin,500,1000,8329.4,8329.82,2862.9,5141.3,324.799,0.820332,34.3693,61.7216,3.89924,0.00984814
Rastrigin,1000,50,858,858.488,286.812,519.501,51.3886,0.786436,33.4089,60.5135,5.98595,0.0916071
Rastrigin,1000,100,1723.8,1724.51,574.1,1039.37,110.009,1.0341,33.2906,60.2703,6.37913,0.0599646
Rastrigin,1000,200,3465,3465.55,1157.59,2080.28,226.602,1.08125,33.4028,60.0273,6.53869,0.0311999
Rastrigin,1000,500,8675.6,8676.26,2900.53,5201.77,572.749,1.21902,33.4306,59.954,6.60133,0.0140501
Rastrigin,1000,1000,17605.6,17606.3,5883.57,10425.4,1295.62,1.6622,33.4174,59.2143,7.35884,0.00944095
