problem,N,POP_SIZE,threads,avg_ms_par,best_fitness_last_run,avg_ms_ser,speedup,efficiency
Rastrigin,10,50,2,17.6,0.0,12.6,0.7159090909090908,0.3579545454545454
Rastrigin,10,50,4,19.6,0.0,12.6,0.6428571428571428,0.1607142857142857
Rastrigin,10,50,8,25.4,0.0,12.6,0.49606299212598426,0.06200787401574803
Rastrigin,10,50,16,38.0,0.0,12.6,0.33157894736842103,0.020723684210526314
Rastrigin,10,50,20,47.8,0.0,12.6,0.26359832635983266,0.013179916317991633
Rastrigin,10,100,2,24.8,0.0,19.0,0.7661290322580645,0.38306451612903225
Rastrigin,10,100,4,28.4,0.0,19.0,0.6690140845070423,0.16725352112676056
Rastrigin,10,100,8,30.4,0.0,19.0,0.625,0.078125
Rastrigin,10,100,16,40.0,0.0,19.0,0.475,0.0296875
Rastrigin,10,100,20,50.0,0.0,19.0,0.38,0.019
Rastrigin,10,200,2,43.8,0.0,38.4,0.8767123287671234,0.4383561643835617
Rastrigin,10,200,4,38.4,0.0,38.4,1.0,0.25
Rastrigin,10,200,8,39.8,0.0,38.4,0.9648241206030151,0.1206030150753769
Rastrigin,10,200,16,46.6,0.0,38.4,0.8240343347639485,0.05150214592274678
Rastrigin,10,200,20,55.6,0.0,38.4,0.6906474820143884,0.034532374100719423
Rastrigin,10,500,2,93.4,0.0,95.0,1.0171306209850106,0.5085653104925053
Rastrigin,10,500,4,72.4,0.0,95.0,1.3121546961325965,0.3280386740331491
Rastrigin,10,500,8,64.8,0.0,95.0,1.4660493827160495,0.18325617283950618
Rastrigin,10,500,16,59.8,0.0,95.0,1.588628762541806,0.09928929765886288
Rastrigin,10,500,20,67.8,0.0,95.0,1.40117994100295,0.0700589970501475
Rastrigin,10,1000,2,163.4,0.0,186.8,1.1432068543451652,0.5716034271725826
Rastrigin,10,1000,4,123.0,0.0,186.8,1.51869918699187,0.3796747967479675
Rastrigin,10,1000,8,104.6,0.0,186.8,1.7858508604206502,0.22323135755258128
Rastrigin,10,1000,16,86.8,0.0,186.8,2.152073732718894,0.13450460829493088
Rastrigin,10,1000,20,98.6,0.0,186.8,1.8945233265720083,0.09472616632860041
Rastrigin,50,50,2,40.0,0.0,40.4,1.01,0.505
Rastrigin,50,50,4,33.6,0.0,40.4,1.2023809523809523,0.3005952380952381
Rastrigin,50,50,8,37.4,0.0,40.4,1.0802139037433156,0.13502673796791445
Rastrigin,50,50,16,43.4,0.0,40.4,0.9308755760368663,0.058179723502304145
Rastrigin,50,50,20,52.4,0.0,40.4,0.7709923664122137,0.038549618320610685
Rastrigin,50,100,2,69.4,0.0,81.2,1.170028818443804,0.585014409221902
Rastrigin,50,100,4,55.6,0.0,81.2,1.460431654676259,0.36510791366906475
Rastrigin,50,100,8,50.8,0.0,81.2,1.5984251968503937,0.19980314960629922
Rastrigin,50,100,16,51.8,0.0,81.2,1.5675675675675678,0.09797297297297299
Rastrigin,50,100,20,69.0,0.0,81.2,1.1768115942028985,0.058840579710144926
Rastrigin,50,200,2,129.8,0.0,160.2,1.2342064714946068,0.6171032357473034
Rastrigin,50,200,4,85.2,0.0,160.2,1.8802816901408448,0.4700704225352112
Rastrigin,50,200,8,81.2,0.0,160.2,1.9729064039408866,0.24661330049261082
Rastrigin,50,200,16,69.4,0.0,160.2,2.30835734870317,0.14427233429394812
Rastrigin,50,200,20,80.0,0.0,160.2,2.0025,0.10012499999999999
Rastrigin,50,500,2,283.0,0.0,403.8,1.4268551236749116,0.7134275618374558
Rastrigin,50,500,4,178.0,0.0,403.8,2.268539325842697,0.5671348314606742
Rastrigin,50,500,8,176.0,0.0,403.8,2.294318181818182,0.28678977272727274
Rastrigin,50,500,16,126.8,0.0,403.8,3.184542586750789,0.1990339116719243
Rastrigin,50,500,20,145.2,0.0,403.8,2.7809917355371905,0.13904958677685952
Rastrigin,50,1000,2,554.0,0.0,795.8,1.4364620938628159,0.7182310469314079
Rastrigin,50,1000,4,321.8,0.0,795.8,2.4729645742697324,0.6182411435674331
Rastrigin,50,1000,8,315.8,0.0,795.8,2.5199493350221656,0.3149936668777707
Rastrigin,50,1000,16,215.2,0.0,795.8,3.6979553903345725,0.23112221189591078
Rastrigin,50,1000,20,206.4,0.0,795.8,3.855620155038759,0.19278100775193796
Rastrigin,100,50,2,66.2,0.0,82.4,1.244712990936556,0.622356495468278
Rastrigin,100,50,4,58.0,0.0,82.4,1.420689655172414,0.3551724137931035
Rastrigin,100,50,8,55.2,0.0,82.4,1.4927536231884058,0.18659420289855072
Rastrigin,100,50,16,53.4,0.0,82.4,1.5430711610486894,0.09644194756554308
Rastrigin,100,50,20,62.6,0.0,82.4,1.31629392971246,0.065814696485623
Rastrigin,100,100,2,120.4,0.0,162.2,1.3471760797342192,0.6735880398671096
Rastrigin,100,100,4,77.2,0.0,162.2,2.1010362694300517,0.5252590673575129
Rastrigin,100,100,8,85.2,0.0,162.2,1.9037558685446008,0.2379694835680751
Rastrigin,100,100,16,75.4,0.0,162.2,2.1511936339522544,0.1344496021220159
Rastrigin,100,100,20,87.4,0.0,162.2,1.8558352402745992,0.09279176201372996
Rastrigin,100,200,2,214.2,0.0,320.0,1.4939309056956116,0.7469654528478058
Rastrigin,100,200,4,135.8,0.0,320.0,2.35640648011782,0.589101620029455
Rastrigin,100,200,8,139.6,0.0,320.0,2.2922636103151866,0.2865329512893983
Rastrigin,100,200,16,114.8,0.0,320.0,2.7874564459930316,0.17421602787456447
Rastrigin,100,200,20,111.8,0.0,320.0,2.862254025044723,0.14311270125223613
Rastrigin,100,500,2,525.2,0.0,813.6,1.549124143183549,0.7745620715917745
Rastrigin,100,500,4,322.0,0.0,813.6,2.5267080745341617,0.6316770186335404
Rastrigin,100,500,8,318.2,0.0,813.6,2.5568824638592083,0.31961030798240103
Rastrigin,100,500,16,218.0,0.0,813.6,3.7321100917431194,0.23325688073394496
Rastrigin,100,500,20,210.6,0.0,813.6,3.8632478632478633,0.19316239316239317
Rastrigin,100,1000,2,1034.8,0.0,1622.4,1.5678391959798996,0.7839195979899498
