problem,N,POP_SIZE,threads,max_iters,valid_subsample,avg_ms,best_fitness_last_run,selected_features,signature
Madelon_FS,500,10,2,40,200,13154,0.22252,236,7218600218275124975
Madelon_FS,500,10,4,40,200,8208.5,0.22252,236,7218600218275124975
Madelon_FS,500,10,8,40,200,5932,0.22252,236,7218600218275124975
Madelon_FS,500,10,16,40,200,3762,0.22252,236,7218600218275124975
Madelon_FS,500,10,20,40,200,3768,0.22252,236,7218600218275124975
Madelon_FS,500,25,2,40,200,34621,0.12841,233,13448677762160959474
Madelon_FS,500,25,4,40,200,18780,0.12841,233,13448677762160959474
Madelon_FS,500,25,8,40,200,11943,0.12841,233,13448677762160959474
Madelon_FS,500,25,16,40,200,7736,0.12841,233,13448677762160959474
Madelon_FS,500,25,20,40,200,7377.5,0.12841,233,13448677762160959474
Madelon_FS,500,50,2,40,200,70248.5,0.13346,238,17618028267342695969
Madelon_FS,500,50,4,40,200,36597,0.13346,238,17618028267342695969
Madelon_FS,500,50,8,40,200,25584.5,0.13346,238,17618028267342695969
Madelon_FS,500,50,16,40,200,16233.5,0.13346,238,17618028267342695969
Madelon_FS,500,50,20,40,200,14450,0.13346,238,17618028267342695969
Madelon_FS,500,100,2,40,200,146672,0.1041,255,6132327235720900892
Madelon_FS,500,100,4,40,200,73257.5,0.1041,255,6132327235720900892
Madelon_FS,500,100,8,40,200,49936,0.1041,255,6132327235720900892
Madelon_FS,500,100,16,40,200,30839.5,0.1041,255,6132327235720900892
Madelon_FS,500,100,20,40,200,27902.5,0.1041,255,6132327235720900892
